income,rent,family_size,marital_status,special_conditions,lat,lon,need_score
7441.52,2909.91,6,Married,0,24.79893570765056,46.73108678494144,45.64
3515.64,2618.04,1,Widowed,0,24.806484426905037,46.8141514928204,34.79
5104.53,3219.33,1,Divorced,1,24.762392331263833,46.72629315215254,50.23
5048.88,3348.56,8,Divorced,1,24.85306064077537,46.77637173645765,86.53
2802.82,732.18,10,Divorced,1,24.75062628070325,46.765128002179296,100.0
3428.52,362.93,1,Widowed,0,24.750929115359376,46.71471351232149,9.23
16456.45,3397.97,6,Single,1,24.7861981135783,46.64233598776711,58.26
15986.84,8094.99,7,Divorced,0,24.68785410837435,46.70988562353795,55.25
6646.06,4689.77,9,Married,0,24.72345844398328,46.75371236662976,73.23
9007.52,4525.63,6,Divorced,1,24.72869879622394,46.667384814933236,70.1
7057.49,879.12,2,Single,1,24.84738243844608,46.72671118497567,34.98
11060.89,1992.83,6,Married,0,24.777476410234396,46.66676259068932,37.21
3054.15,559.99,8,Single,0,24.746880863773743,46.743546129485495,47.33
7757.07,5304.03,8,Single,1,24.716550321128885,46.75678490091728,87.35
14462.43,1283.16,2,Married,0,24.74406806550406,46.72341531251033,13.55
14748.96,2582.48,9,Married,1,24.74401466938853,46.83061390922545,72.0
13263.36,9083.91,10,Widowed,1,24.773425138763105,46.6851144535522,97.4
9589.6,5398.54,4,Single,1,24.81522724560516,46.676957817501446,62.52
16094.02,6568.73,8,Widowed,1,24.784543179750237,46.64001649380601,76.33
9867.3,4883.01,2,Married,1,24.70769069755508,46.74784306179345,49.79
2241.73,1114.23,9,Widowed,1,24.81102332899977,46.746568414059496,100.0
13113.31,5465.85,1,Married,0,24.768317585880588,46.722944815220536,21.67
11521.36,1376.89,7,Divorced,1,24.70017390048163,46.702007789580264,59.78
6400.97,3612.04,2,Widowed,1,24.75106806145201,46.790856111310944,52.57
13046.69,2214.98,5,Widowed,1,24.791280914478424,46.64984799223186,51.79
1896.31,891.32,4,Married,1,24.79030419846974,46.71874588597918,78.8
12064.63,6057.04,3,Widowed,1,24.7402538999847,46.768583814442046,55.08
10701.03,8171.56,1,Widowed,0,24.825649976124797,46.78456400595581,35.54
10512.39,2656.7,8,Divorced,1,24.73213912383887,46.72253938120744,70.11
7677.08,2985.69,2,Single,0,24.79066317157018,46.78677725635612,25.56
17914.74,8860.23,10,Single,1,24.750141288107738,46.72871705116681,89.78
18718.66,7883.31,3,Single,0,24.718783251299698,46.678189668795966,31.85
5567.93,2139.61,10,Widowed,1,24.81472629111971,46.80581200142854,85.37
2626.1,1436.09,1,Married,1,24.770499493920983,46.7881766448946,66.87
19455.87,13807.19,8,Married,0,24.792181801252383,46.70574401226974,68.39
14662.08,764.2,4,Divorced,1,24.792169780275422,46.8149018283233,42.08
14207.24,1288.07,6,Divorced,1,24.772308698044505,46.8162321827907,53.63
15828.07,987.65,3,Divorced,1,24.643112744795513,46.77909512521876,37.5
4480.57,2967.6,6,Divorced,1,24.77845235341191,46.72304963247671,76.49
16895.28,1029.9,3,Single,0,24.778688038826775,46.63862155426995,17.44
15540.28,4433.72,7,Single,0,24.763116405608127,46.75585562857559,46.41
13178.33,5037.62,3,Single,0,24.847994702237077,46.71208648908632,30.29
12735.73,3156.23,6,Widowed,1,24.73367531985534,46.712912147820774,59.91
18344.88,11422.95,9,Married,0,24.819870105885105,46.75443755548299,69.91
7705.92,525.09,10,Widowed,1,24.74761198981165,46.76366337165567,72.73
11795.74,4703.87,5,Widowed,0,24.7789538774674,46.78643224952664,40.95
8073.45,1254.07,2,Married,1,24.73899734530613,46.72161689267011,36.21
11295.79,8263.82,6,Widowed,0,24.75449459234339,46.66482425259339,59.26
14211.48,8613.37,6,Single,0,24.78890601385323,46.751052763608996,54.24
14485.61,1986.77,1,Divorced,1,24.774355672832122,46.72627064333124,30.49
18849.15,9437.64,4,Single,0,24.70333146289748,46.71696773386173,40.03
12129.37,2397.1,5,Single,1,24.75696427417366,46.69788613653892,52.91
1760.74,476.19,8,Widowed,1,24.7660357144167,46.75820254284073,90.82
9130.23,3602.43,1,Single,1,24.868409295060527,46.74672889064159,40.78
7982.2,4054.01,3,Single,1,24.78697751953614,46.73427770421169,55.32
1633.51,355.47,5,Divorced,0,24.678161439235048,46.73667430622754,53.7
14693.48,2803.89,9,Married,0,24.77711151049705,46.86116210562427,52.63
13650.51,5233.22,6,Widowed,1,24.764481951760946,46.75307736711668,65.33
16987.24,3513.78,4,Married,0,24.77236441151474,46.679566098119025,28.27
7776.76,4466.82,6,Single,0,24.83124114072575,46.77559665163434,52.98
9147.93,7158.12,2,Widowed,0,24.813651597352152,46.69253062726026,41.3
10335.53,6539.91,9,Married,1,24.844239715546806,46.66790744686038,90.31
10977.18,5149.4,6,Single,1,24.803442854690015,46.8475227812905,68.76
3381.41,1462.94,9,Widowed,1,24.724573183743466,46.70968511351986,82.31
9695.79,6128.89,2,Widowed,1,24.77908256825438,46.71282621729419,55.28
4931.38,2507.57,10,Single,0,24.696566828446695,46.7414281487403,70.34
12608.09,274.45,3,Divorced,0,24.720984814313695,46.76167962153176,15.87
18346.51,9088.12,2,Married,1,24.72812878828831,46.81549672025088,49.81
15752.15,11277.54,7,Single,0,24.73493733538319,46.721896924189714,63.64
7634.3,5379.91,5,Widowed,0,24.814775860868483,46.6764567841783,53.19
13978.25,8217.64,6,Divorced,1,24.785472996730206,46.80335713771412,73.52
4795.31,3240.0,1,Single,1,24.693725838271938,46.74723169292661,52.03
15169.52,2603.68,2,Widowed,0,24.787094139712423,46.77709114358886,16.87
1030.62,280.12,4,Divorced,0,24.712252464456096,46.67197716934579,50.87
10322.89,353.49,1,Married,1,24.800197078280846,46.75284923366166,26.37
6525.76,1589.77,7,Divorced,0,24.786624642517296,46.75532241047485,44.74
13364.21,4183.22,8,Divorced,0,24.740098763921075,46.74961268485805,52.52
11684.68,1123.33,7,Divorced,1,24.788753623664935,46.70228242909868,58.85
8680.18,605.11,10,Widowed,1,24.867388725557237,46.76169164604559,72.79
19223.14,721.48,10,Married,1,24.714534825139868,46.770827680431694,71.5
4858.81,1915.35,7,Married,0,24.725365916488634,46.77735423018712,50.77
15173.7,10691.15,10,Single,1,24.83202977895037,46.69696588408242,98.18
8153.79,4121.98,2,Single,1,24.822268806462215,46.75863904634682,50.22
10174.99,4386.56,1,Widowed,0,24.815203007999724,46.832839649132694,22.24
13927.59,4225.08,3,Divorced,0,24.761830594199857,46.70031319178212,27.13
13585.98,4796.56,3,Single,0,24.729624278518724,46.69720948575173,29.12
7816.7,3164.45,7,Married,1,24.770244914529297,46.755057598740834,71.19
6032.39,4540.15,3,Widowed,0,24.7879345399665,46.7793591624518,45.11
2458.29,1399.1,1,Widowed,0,24.774750094593895,46.810676703857865,47.77
7000.79,1477.06,5,Married,0,24.760867158338105,46.87400845832948,33.44
8452.57,4596.31,9,Widowed,0,24.805383367388252,46.695142122179185,66.75
19903.58,8145.77,9,Divorced,0,24.720555375096946,46.76212362076216,61.37
17544.13,7972.69,2,Widowed,1,24.762926860733707,46.7737000247046,48.18
1441.15,951.49,4,Married,1,24.797761881228677,46.734358554367155,86.41
14039.82,1153.74,10,Married,0,24.73176031409658,46.66225763876571,53.29
6540.77,5073.1,7,Married,0,24.75177425239665,46.780819939716174,66.02
3577.21,721.89,7,Married,0,24.78480468720651,46.6757130610644,43.07
14001.41,711.43,9,Single,0,24.78275904629256,46.757265868986444,47.03
11955.23,2367.05,5,Single,1,24.729907128189943,46.74568625529728,52.92
4824.76,1457.02,4,Divorced,1,24.7770104359223,46.68085148510847,52.08
19975.74,4599.72,1,Single,1,24.791989368017415,46.76603922631841,34.21
5370.23,431.77,7,Widowed,0,24.828252562158763,46.790690102601744,38.22
6412.48,3537.65,5,Married,1,24.705216531602147,46.69110874800425,67.07
3812.48,479.83,7,Married,1,24.799851763360433,46.76368929754561,60.03
3085.13,2216.32,6,Widowed,0,24.799852384315304,46.930636574532734,58.74
16709.2,9402.76,9,Married,0,24.80264452553466,46.79477828200903,67.51
13346.99,5440.73,3,Married,0,24.821800088174662,46.77056956256529,31.31
8332.59,3743.52,9,Divorced,0,24.758336537767985,46.77594846102466,62.97
15429.04,7830.23,10,Divorced,0,24.73545873927312,46.726159069663,70.3
11845.8,2491.76,7,Widowed,1,24.749831822608545,46.742093706969314,63.41
18626.9,4397.74,10,Married,0,24.889832928333675,46.64463674037041,59.44
746.8,289.93,10,Widowed,1,24.808413009518727,46.65736420644052,100.0
3680.11,685.69,5,Married,1,24.75050340671053,46.79244752984837,52.45
7630.69,1918.24,5,Married,1,24.777314000954775,46.684112761103535,55.06
2883.76,1030.38,10,Single,0,24.738334814537,46.77197988744673,84.29
